Registro N°,N° L. Venta,Producto,Registrante,P.Activo,Situación,Formulacion,Fabricante,País Origen,Resolución,Habilitación,Vencimiento,Mantenimiento,Clase de Uso,Toxicologia
1735,1467,METAMIDOFOS AGROTEC                                                                                                                                                                                     ,AGROTEC S.A .                                                                                       , METAMIDOFOS 60.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,PILARQUIM CORP.                                                                      ,TAIWAN              ,68/2006        ,2000-10-10,2002-10-10,2003-03-31,INSECTICIDA,I                   
1736,1466,FOMEX                                                                                                                                                                                                   ,TRADE S.A.                                                                                          , FOMESAFEN 25.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,DALIAN RUIZE PESTICIE Co. LTDA                                                       ,CHINA               ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,HERBICIDA,IV                  
1744,0,IMAZETHAPYR TECNICO                                                                                                                                                                                     ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , IMAZETAPYR 95.000 %,VIGENTE             ,GRADO TECNICO (TC)                                                                                  ,HEBEI JING COUNTRY CHEMICAL INDUSTRY Co. LTDA                                        ,CHINA               ,               ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,II                  
1745,0,IMAZAQUIN TECNICO                                                                                                                                                                                       ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , IMAZAQUIN 95.000 %,VIGENTE             ,GRADO TECNICO (TC)                                                                                  ,TRUSTCHEM CO. LTD.                                                                   ,CHINA               ,132/09         ,2012-02-09,2025-03-31,2023-07-30,HERBICIDA,III                 
1755,1484,GLIPHOSATE 48                                                                                                                                                                                           ,REPOL S.R.L. REPRESENTACIONES                                                                       ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HEBEI GOLHIL CHEMICALS Co. LTD.                                                      ,CHINA               ,               ,2000-10-25,2005-10-25,2006-03-31,HERBICIDA,IV                  
1756,1485,SPRAY-CRECE MAS                                                                                                                                                                                         ,AGROFIELD S.R.L                                                                                     , CIPERMETRINA 0.130 %,CANCELADO           ,LIQUIDO P/USAR EN SPRAY                                                                             ,SEMILLERA DENUCIO S.A.                                                               ,URUGUAY             ,               ,2002-10-25,2003-10-25,2004-03-31,INSECTICIDA EN SPRAY,III                 
1757,1486,SCOOTER                                                                                                                                                                                                 ,AGROFERTIL SA                                                                                       , IMAZAQUIN 10.000 %,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,AGRO PLANTAS INDUSTRIAS QUIMICAS LTDA                                                ,PARAGUAY            ,               ,2000-10-25,2005-10-25,2001-10-25,HERBICIDA,IV                  
1758,1487,TORPEDO                                                                                                                                                                                                 ,AGROFERTIL SA                                                                                       , IMAZETAPYR 11.000 %,CANCELADO           ,SOLUCION CONCENTRADA                                                                                ,AGRO PLANTAS INDUSTRIAS QUIMICAS LTDA                                                ,PARAGUAY            ,               ,2000-10-25,2001-10-25,2002-03-31,HERBICIDA,IV                  
1759,1488,REGGAE 100 SL                                                                                                                                                                                           ,SAAT S.A.                                                                                           , IMAZETAPYR 10.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,HEBEI JINGMEI CHEMICAL INDUSTRY Co. LTDA                                             ,CHINA               ,               ,2012-02-09,2019-03-31,2015-05-31,HERBICIDA,IV                  
1760,1489,KAPUERA 50 SC                                                                                                                                                                                           ,ADAMA PARAGUAY S.R.L.                                                                               , KRESOXIM METIL 50.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,MAKHTESHIM CHEMICAL WORKS LIMITED                                                    ,ISRAEL              ,355/2008       ,2007-11-02,2008-12-31,2009-03-31,FUNGICIDA,IV                  
1761,1490,ADAMA ESSENTIALS ATRANEX 90 WG                                                                                                                                                                          ,ADAMA PARAGUAY S.R.L.                                                                               , ATRAZINA 90.000 %,DEFINITIVO          ,GRANULADO DISPERSABLES (WG)                                                                         ,ADAMA AGAN LIMITED                                                                   ,ISRAEL              ,351/2008       ,2022-02-15,2027-02-15,2024-03-31,HERBICIDA,IV                  
1762,1491,ANTRACOL                                                                                                                                                                                                ,BAYER S.A.                                                                                          , PROPINEB 70.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,BAYER ARGENTINA S.A.                                                                 ,ARGENTINA           ,               ,2001-11-02,2002-11-02,2003-03-31,FUNGICIDA ACARICIDA,IV                  
1763,1492,TERFOS                                                                                                                                                                                                  ,M. DOLDAN S.R.L.                                                                                    , CLORPIRIFOS 48.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA,II                  
1764,1493,METAFOS                                                                                                                                                                                                 ,BIOGENESIS DEL PARAGUAY S.A.                                                                        ,,SUSPENDIDO          ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,68/2006        ,2002-06-06,2007-06-06,2006-06-06,INSECTICIDA ACARICIDA,I.B                 
1765,1494,CALLITRAZ 500 SC                                                                                                                                                                                        ,ARYSTA LIFE SCIENCE PARAGUAY S.R.L.                                                                 , ATRAZINA 50.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,ARYSTA  LIFESCIENCE                                                                  ,FINLANDIA           ,355/2008       ,2008-11-02,2008-12-31,2009-03-31,HERBICIDA,IV                  
1766,1495,DELTA 50 EC                                                                                                                                                                                             ,AMERICA LATINA AGRISCIENCES S.A. ( ALAG S.A.)                                                       , DELTAMETRINA 5.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,ARYSTA  LIFESCIENCE                                                                  ,FINLANDIA           ,355/2008       ,2012-02-09,2023-03-31,2020-06-30,INSECTICIDA,III                 
1768,1497,PRO-CLORI                                                                                                                                                                                               ,LA GENOVESA                                                                                         ,,CANCELADO           ,GRANULOS DISPERSABLES EN AGUA                                                                       ,JIANGSU INSTITUTE OF ECONOMES                                                        ,CHINA               ,               ,2000-11-02,2001-11-02,2002-03-31,HERBICIDA,IV                  
1769,1498,CALLIQUAT 200 SL                                                                                                                                                                                        ,ARYSTA LIFE SCIENCE PARAGUAY S.R.L.                                                                 , PARAQUAT 20.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,"JINAN LUBA CHEMICALS CO., LTD.                                                       ",CHINA               ,351/2008       ,2012-02-09,2023-03-31,2020-06-30,HERBICIDA,I.B                 
1770,1499,CORONA                                                                                                                                                                                                  ,AGRO SOL NACIENTE S.A.C.E.I. AGROPECUARIA                                                           , CLORIMURON ETIL 25.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,ZHEJIANG CHEMICALS IMP.& EXP.CORP                                                    ,CHINA               ,               ,2012-02-09,2012-12-31,2013-03-31,HERBICIDA,IV                  
1771,1500,DIMAFOS                                                                                                                                                                                                 ,AGRO SOL NACIENTE S.A.C.E.I. AGROPECUARIA                                                           , MONOCROTOFOS 60.000 %,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,ZHEJIANG CHEMICALS IMP.& EXP.CORP                                                    ,CHINA               ,493/2003       ,2010-06-30,2011-12-31,2011-03-31,INSECTICIDA,I                   
1772,1501,CHENFOMEN                                                                                                                                                                                               ,AGRO SOL NACIENTE S.A.C.E.I. AGROPECUARIA                                                           , FOMESAFEN 25.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,ZHEJIANG CHEMICALS IMP.& EXP.CORP                                                    ,CHINA               ,               ,2012-02-09,2012-12-31,2013-03-31,HERBICIDA,III                 
1775,1504,PILARBEN                                                                                                                                                                                                ,INDUSQUIM S.R.L.                                                                                    ,,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,PILARQUIM CORP.                                                                      ,CHINA               ,               ,2001-11-09,2002-11-09,2003-03-31,FUNGICIDA,IV                  
1776,1505,PILARICH                                                                                                                                                                                                ,INDUSQUIM S.R.L.                                                                                    ,,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,PILARQUIM CORP.                                                                      ,CHINA               ,               ,2001-11-09,2002-11-09,2003-03-31,FUNGICIDA,IV                  
1777,1506,MECHA                                                                                                                                                                                                   ,IGUAZU IMPORT EXPORT                                                                                , METAMIDOFOS 60.000 %,CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,ZHEJIANG CHEMICALS IMP.& EXP.CORP                                                    ,CHINA               ,68/2006        ,2003-11-09,2008-11-09,2006-11-09,INSECTICIDA ACARICIDA,I                   
1778,1507,CARBIRAM                                                                                                                                                                                                ,AGROFERTIL SA                                                                                       , TIRAM 35.000 %; CARBENDAZIM 15.000 %,VIGENTE             ,SUSPENSION CONCENTRADA (SC)                                                                         ,TECNOMYL S.R.L.                                                                      ,PARAGUAY            ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,FUNGICIDA CURASEMILLA,III                 
1779,1508,DIFLUBEN   ( DIBEN REG. N ? 1695 )                                                                                                                                                                      ,AGROFERTIL SA                                                                                       , DIFLUBENZURON 25.000 %,CANCELADO           ,POLVO MOJABLE (WP)                                                                                  ,TECNOMYL S.R.L.                                                                      ,PARAGUAY            ,482/2007       ,2007-11-09,2008-05-31,2009-03-31,INSECTICIDA,IV                  
1781,1510,CIPERTRIN PLUS (GALGOTRIN REG. N? 353)                                                                                                                                                                  ,AGROFIELD S.R.L                                                                                     , CIPERMETRINA 25.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,INSECTICIDA,II                  
1782,1511,DIMETOATO AGROFIELD (GALGOFOS REG. N? 296)                                                                                                                                                              ,AGROFIELD S.R.L                                                                                     , DIMETOATO 37.400 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,INSECTICIDA,II                  
1783,1512,DDVP PLUS AGROFIELD (DEPEGAL EXTRA  REG. N? 360)                                                                                                                                                        ,AGROFIELD S.R.L                                                                                     , DDVP 97.000 %; CIPERMETRINA 3.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,INSECTICIDA,I.B                 
1784,1513,PROPANIL ACTION 360                                                                                                                                                                                     ,DIAGRO S.A                                                                                          , PROPANIL 36.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,ACTION S.A.                                                                          ,BRASIL              ,               ,2001-11-17,2002-11-17,2003-03-31,HERBICIDA,III                 
1785,0,TEBUTHIURON TECNICO                                                                                                                                                                                     ,MILENIA PARAGUAY S.A                                                                                ,SIN DATOS,CANCELADO           ,GRADO TECNICO (TC)                                                                                  ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,               ,2000-11-17,2005-11-17,,HERBICIDA,III                 
1786,1514,ROUNDUP FG                                                                                                                                                                                              ,MONSANTO PARAGUAY S.A                                                                               , GLIFOSATO SAL MONOAMÓNICA DE LA N-FOSFONOMETIL GLICINA (EQUIVALENTE A GLIFOSATO ÁCIDO 72%) 79.200 %,VIGENTE             ,GRANULADO SOLUBLE (SG)                                                                              ,MONSANTO ARGENTINA S.R.L.                                                            ,ARGENTINA           ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,IV                  
1787,1515,FICHEN 800 WG                                                                                                                                                                                           ,GLYMAX PARAGUAY S.A                                                                                 , FIPRONIL 80.000 %,VIGENTE             ,GRANULADO DISPERSABLES (WG)                                                                         ,JIANGSU REPONT PESTICIDE FACTORY CO. LTD.                                            ,CHINA               ,               ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA ACARICIDA,II                  
1788,1516,ACETAMIX 20 WP                                                                                                                                                                                          ,CHD'S AGROCHEMICALS S.A.I.C.                                                                        , ACETAMIPRID 20.000 %,VIGENTE             ,POLVO SOLUBLE (SP)                                                                                  ,ZHEJIANG CHEMICALS I/E CORP.                                                         ,CHINA               ,132/09         ,2012-02-09,2023-03-31,2022-06-30,INSECTICIDA,III                 
1789,1517,VULCANO                                                                                                                                                                                                 ,DIAGRO S.A                                                                                          , QUINCLORAC 50.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,ZHEJIANG CHEMICALS I/E CORP.                                                         ,CHINA               ,               ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,III                 
1790,1518,DISSET                                                                                                                                                                                                  ,DIAGRO S.A                                                                                          , TIDIAZURON 50.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,ZHEJIANG CHEMICALS I/E CORP.                                                         ,CHINA               ,132/09         ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA;DEFOLIANTE,III                 
1791,1519,FUSKA - DRY                                                                                                                                                                                             ,ST. ROSE INDUSTRIAL Y COMERCIAL S.A.                                                                , GLIFOSATO 60.000 %,CANCELADO           ,POLVO SOLUBLE (SP)                                                                                  ,ZHEJIANG CHEMICALS I/E CORP.                                                         ,CHINA               ,               ,2000-11-17,2005-11-17,2006-03-31,HERBICIDA,IV                  
1792,1520,DMA 6                                                                                                                                                                                                   ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    ," 2,4-D AMINA 68.300 %",CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,DOW AGROSCIENCES SOUTHERN AFRICA (PTY) LTD.                                          ,SUDAFRICA           ,               ,2006-11-17,2008-12-29,2008-11-17,HERBICIDA,II                  
1793,1521,DMA DOW AGROSCIENCES                                                                                                                                                                                    ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    ," 2,4-D 72.000 %",CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,DOW AGROSCIENCES ARG. S.A.                                                           ,ARGENTINA           ,               ,2012-02-09,2012-12-31,2013-03-31,HERBICIDA,II                  
1794,1522,OCTAUS                                                                                                                                                                                                  ,CAELUM S.A.                                                                                         , THIRAM 35.000 %; CARBENDAZIM 15.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,GLEBA S.A.                                                                           ,ARGENTINA           ,285/2008       ,2008-05-31,2008-12-31,2009-03-31,FUNGICIDA CURASEMILLA,II                  
1795,1523,BEMOL 25 WP                                                                                                                                                                                             ,SAAT S.A.                                                                                           , CLORIMURON ETIL 25.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,LIYANG QUIMICA                                                                       ,CHINA               ,               ,2012-02-09,2019-03-31,2015-05-31,HERBICIDA,IV                  
1797,1525,CARBENDAZIM PLUS                                                                                                                                                                                        ,ARYSTA LIFE SCIENCE PARAGUAY S.R.L.                                                                 , CARBENDAZIM 15.000 %; TIRAM 35.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,ARYSTA  LIFESCIENCE                                                                  ,FINLANDIA           ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,FUNGICIDA CURASEMILLA,II                  
1798,1526,ORIUS 6 S.C.                                                                                                                                                                                            ,ADAMA PARAGUAY S.R.L.                                                                               , TEBUCONAZOL 6.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,355/2008       ,2007-12-12,2008-12-31,2009-03-31,FUNGICIDA,IV                  
1799,1527,ORIUS COMBI                                                                                                                                                                                             ,ADAMA PARAGUAY S.R.L.                                                                               , TEBUCONAZOL 2.000 %; IMAZALIL 3.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,355/2008       ,2007-12-12,2008-12-31,2009-03-31,FUNGICIDA,II                  
1800,1528,SUPREME SC                                                                                                                                                                                              ,ADAMA PARAGUAY S.R.L.                                                                               , EPOXICONAZOL 12.500 %; KRESOXIM METIL 12.500 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,MILENIA AGROCIENCIAS SA                                                              ,BRASIL              ,355/2008       ,2007-12-12,2008-12-31,2009-03-31,FUNGICIDA,II                  
1803,1531,GLIFOSATO DUPONT                                                                                                                                                                                        ,AGAR CROSS PARAGUAYA S.A.                                                                           , GLIFOSATO 48.000 %,CANCELADO           ,CONCENTRADO SOLUBLE (SL)                                                                            ,MONSANTO ARGENTINA SAIC                                                              ,ARGENTINA           ,               ,2002-12-12,2003-12-12,2004-03-31,HERBICIDA,IV                  
1804,1532,DIMILIN WP-25                                                                                                                                                                                           ,ALQUIMICA S.A.                                                                                      , DIFLUBENZURON 25.000 %,VIGENTE             ,POLVO MOJABLE (WP)                                                                                  ,CHEMTURA IND. QUIMICA DO BRASIL LTDA.                                                ,BRASIL              ,               ,2012-02-09,2019-03-31,2018-05-31,INSECTICIDA,IV                  
1805,1533,PARAQUAPAN                                                                                                                                                                                              ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,LIQUIDO SOLUBLE                                                                                     ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,HERBICIDA,II                  
1806,1534,DELTAMEPAN                                                                                                                                                                                              ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,INSECTICIDA,II                  
1807,1535,ENDOSULPAN                                                                                                                                                                                              ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,INSECTICIDA ACARICIDA,II                  
1808,1536,CYPERPAN                                                                                                                                                                                                ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,INSECTICIDA,III                 
1809,1537,CLORPIRIPAN                                                                                                                                                                                             ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,INSECTICIDA ACARICIDA,II                  
1810,1538,CARBENDAPAN                                                                                                                                                                                             ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,FUNGICIDA,IV                  
1811,1539,FENVALEPAN                                                                                                                                                                                              ,AGROPAN S.A.                                                                                        ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,HWA NONG ENTERPRISES CO.LTD.                                                         ,TAIWAN              ,               ,2000-12-26,2001-12-26,2002-03-31,INSECTICIDA,III                 
1812,1539,PRIME PLUS                                                                                                                                                                                              ,SYNGENTA CROP PROTECTION S.A SUCURSAL PARAGUAY                                                      , FLUMETRALIN 12.500 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,SYNGENTA PROTECAO DE CULTIVOS                                                        ,BRASIL              ,               ,2002-12-26,2003-12-26,2004-03-31,REGULADOR DE CRECIMIENTO,IV                  
1813,1540,DEPEGAL 100                                                                                                                                                                                             ,M. DOLDAN S.R.L.                                                                                    , DDVP 10.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA - ACARICIDA - GORGOJICIDA,I                   
1814,1541,DDVP 48 CE                                                                                                                                                                                              ,M. DOLDAN S.R.L.                                                                                    , DDVP 48.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,INSECTICIDA - ACARICIDA - GORGOJICIDA,I                   
1820,1546,NEMACUR EC 400                                                                                                                                                                                          ,BAYER S.A.                                                                                          , FENAMIFOS 40.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,BAYER S.A.                                                                           ,ARGENTINA           ,               ,2006-12-26,2011-12-26,2007-12-26,NEMATICIDA,I.A                 
1821,1547,DIURON BAYER 50 SC                                                                                                                                                                                      ,BAYER S.A.                                                                                          , DIURON 50.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,BAYER ARGENTINA S.A.                                                                 ,ARGENTINA           ,               ,2001-12-26,2002-12-26,2003-03-31,HERBICIDA,IV                  
1822,1548,AGROMETRINA   25                                                                                                                                                                                        ,AGROFUTURO PARAGUAY S.A.                                                                            , CIPERMETRINA 25.000 %,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,CHEMOTECNICA S.A.                                                                    ,ARGENTINA           ,               ,2012-02-09,2014-03-31,2015-03-31,INSECTICIDA,II                  
1823,1549,AGROMETRINA   25   ( CIPERMYL    REG. N¬ 290 )                                                                                                                                                          ,AGROFUTURO S.R.L.                                                                                   ,,CANCELADO           ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,TECNOMYL S.R.L.                                                                      ,PARAGUAY            ,               ,2002-12-26,2004-04-02,2003-12-26,INSECTICIDA,III                 
1825,1551,RESCATE                                                                                                                                                                                                 ,AGROSERVICE LOCAL S.R.L.                                                                            ,SIN DATOS,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,COOP.AGRICOLA CENTRO OESTE LTDA.                                                     ,PARAGUAY            ,               ,2001-02-12,2002-02-12,2003-03-31,HERBICIDA,II                  
1829,1555,PANZER®                                                                                                                                                                                                 ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , GLIFOSATO 48.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,CORTEVA AGRISCIENCE ARGENTINA S.R.L.                                                 ,ARGENTINA           ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,IV                  
1834,1560,DECIS TAB 250                                                                                                                                                                                           ,BAYER S.A.                                                                                          , DELTAMETRINA 25.000 %,CANCELADO           ,TABLETAS HIDROSOLUBLES                                                                              ,BAYER S.A.                                                                           ,ARGENTINA           ,               ,2007-02-12,2012-02-12,2008-02-12,INSECTICIDA,III                 
1837,1563,CEREALERO DOBLE                                                                                                                                                                                         ,AGROLAND S.R.L.                                                                                     ,,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,GLEBA S.A.                                                                           ,ARGENTINA           ,285/2008       ,2008-05-31,2008-12-31,2009-03-31,FUNGICIDA CURASEMILLA,III                 
1841,1567,REGLONE                                                                                                                                                                                                 ,SYNGENTA PARAGUAY S.A.                                                                              , DIQUAT 20.000 %,VIGENTE             ,CONCENTRADO SOLUBLE (SL)                                                                            ,SYNGENTA PROTECAO DE CULTIVOS                                                        ,BRASIL              ,351/2008       ,2012-02-09,2025-03-31,2024-03-31,HERBICIDA,II                  
1842,0,LACTOFEN 80%                                                                                                                                                                                            ,TECNOMYL S.A.                                                                                       , LACTOFEN 80.000 %,DEFINITIVO          ,GRADO TECNICO (TC)                                                                                  ,"JIANGSU CHANGQING AGROCHEMICAL CO., LTD.                                             ",CHINA               ,               ,2020-01-23,2025-01-23,2024-03-31,HERBICIDA,IV                  
1843,0,ENDOSULFAN TECNICO                                                                                                                                                                                      ,TECNOMYL S.A.                                                                                       , ENDOSULFAN 94.000 %,CANCELADO           ,GRADO TECNICO (TC)                                                                                  ,AINCO PESTICIDE LTD.                                                                 ,INDIA               ,351/2008       ,2012-02-09,2012-12-31,2013-03-31,INSECTICIDA ACARICIDA,II                  
1854,1579,CLORPIR 48                                                                                                                                                                                              ,GAMA TECHNOLOGIES S.A.                                                                              , CLORPIRIFOS 48.000 %,VIGENTE             ,CONCENTRADO EMULSIONABLE (EC)                                                                       ,POINT INTERNATIONAL LTD.                                                             ,REINO UNIDO         ,355/2008       ,2012-02-09,2019-03-31,2015-05-31,INSECTICIDA,III                 
1863,1588,DIURON 80 SC                                                                                                                                                                                            ,CORTEVA AGRISCIENCE PARAGUAY S.A                                                                    , DIURON 80.000 %,CANCELADO           ,SUSPENSION CONCENTRADA (SC)                                                                         ,SANTTION IMPORTACAO E EXPORTACAO                                                     ,SUDAFRICA           ,               ,2002-02-26,2003-02-26,2004-03-31,HERBICIDA,III                 
